1,1-3099-02762-83-8,1234
2,1-3137-45420-37-5,5678
3,1-3099-02762-83-9,10122
4,1-3137-45420-37-6,14566
5,1-3099-02762-83-10,19010
6,1-3137-45420-37-7,23454
7,1-3099-02762-83-11,27898
8,1-3099-02762-83-9,32342
9,1-3137-45420-37-6,36786
10,1-3099-02762-83-10,41230
11,1-3137-45420-37-7,45674
12,1-3099-02762-83-11,50118
13,1-3137-45420-37-8,54562
14,1-3099-02762-83-12,59006
15,1-3099-02762-83-10,63450
16,1-3137-45420-37-7,67894
17,1-3099-02762-83-11,72338
18,1-3137-45420-37-8,76782
19,1-3099-02762-83-12,81226
20,1-3137-45420-37-9,85670
21,1-3099-02762-83-13,90114
22,1-3099-02762-83-11,94558
23,1-3137-45420-37-8,99002
24,1-3099-02762-83-12,103446
25,1-3137-45420-37-9,107890
26,1-3099-02762-83-13,112334
27,1-3137-45420-37-10,116778
28,1-3099-02762-83-14,121222
29,1-3099-02762-83-12,125666
30,1-3137-45420-37-9,130110
31,1-3099-02762-83-13,134554
32,1-3137-45420-37-10,138998
33,1-3099-02762-83-14,143442
34,1-3137-45420-37-11,147886
35,1-3099-02762-83-15,152330
36,1-3099-02762-83-13,156774
37,1-3137-45420-37-10,161218
38,1-3099-02762-83-14,165662
39,1-3137-45420-37-11,170106
40,1-3099-02762-83-15,174550
41,1-3137-45420-37-12,178994
42,1-3099-02762-83-16,183438
43,1-3099-02762-83-14,187882
44,1-3137-45420-37-11,192326
45,1-3099-02762-83-15,196770
46,1-3137-45420-37-12,201214
47,1-3099-02762-83-16,205658
48,1-3137-45420-37-13,210102
49,1-3099-02762-83-17,214546
50,1-3099-02762-83-15,218990
51,1-3137-45420-37-12,223434
52,1-3099-02762-83-16,227878
53,1-3137-45420-37-13,232322
54,1-3099-02762-83-17,236766
55,1-3137-45420-37-14,241210
56,1-3099-02762-83-18,245654
57,1-3099-02762-83-16,250098
58,1-3137-45420-37-13,254542
59,1-3099-02762-83-17,258986
60,1-3137-45420-37-14,263430
61,1-3099-02762-83-18,267874
62,1-3137-45420-37-15,272318
63,1-3099-02762-83-19,276762
64,1-3099-02762-83-17,281206
65,1-3137-45420-37-14,285650
66,1-3099-02762-83-18,290094
67,1-3137-45420-37-15,294538
68,1-3099-02762-83-19,298982
69,1-3137-45420-37-16,303426
70,1-3099-02762-83-20,307870
71,1-3099-02762-83-18,312314
72,1-3137-45420-37-15,316758
73,1-3099-02762-83-19,321202
74,1-3137-45420-37-16,325646
75,1-3099-02762-83-20,330090
76,1-3137-45420-37-17,334534
77,1-3099-02762-83-21,338978
78,1-3099-02762-83-19,343422
79,1-3137-45420-37-16,347866
80,1-3099-02762-83-20,352310
81,1-3137-45420-37-17,356754
82,1-3099-02762-83-21,361198
83,1-3137-45420-37-18,365642
84,1-3099-02762-83-22,370086
85,1-3099-02762-83-20,374530
86,1-3137-45420-37-17,378974
87,1-3099-02762-83-21,383418
88,1-3137-45420-37-18,387862
89,1-3099-02762-83-22,392306
90,1-3137-45420-37-19,396750
91,1-3099-02762-83-23,401194
92,1-3099-02762-83-21,405638
93,1-3137-45420-37-18,410082
94,1-3099-02762-83-22,414526
95,1-3137-45420-37-19,418970
96,1-3099-02762-83-23,423414
97,1-3137-45420-37-20,427858
98,1-3099-02762-83-24,432302
99,1-3099-02762-83-22,436746
100,1-3137-45420-37-19,441190
101,1-3099-02762-83-23,445634
102,1-3137-45420-37-20,450078
103,1-3099-02762-83-24,454522
104,1-3137-45420-37-21,458966
105,1-3099-02762-83-25,463410
106,1-3099-02762-83-23,467854
107,1-3137-45420-37-20,472298
108,1-3099-02762-83-24,476742
109,1-3137-45420-37-21,481186
110,1-3099-02762-83-25,485630
111,1-3137-45420-37-22,490074
112,1-3099-02762-83-26,494518
113,1-3099-02762-83-24,498962
114,1-3137-45420-37-21,503406
115,1-3099-02762-83-25,507850
116,1-3137-45420-37-22,512294
117,1-3099-02762-83-26,516738
118,1-3137-45420-37-23,521182
119,1-3099-02762-83-27,525626
120,1-3099-02762-83-25,530070
121,1-3137-45420-37-22,534514
122,1-3099-02762-83-26,538958
123,1-3137-45420-37-23,543402
124,1-3099-02762-83-27,547846
125,1-3137-45420-37-24,552290
126,1-3099-02762-83-28,556734
127,1-3099-02762-83-26,561178
128,1-3137-45420-37-23,565622
129,1-3099-02762-83-27,570066
130,1-3137-45420-37-24,574510
131,1-3099-02762-83-28,578954
132,1-3137-45420-37-25,583398
133,1-3099-02762-83-29,587842
134,1-3099-02762-83-27,592286
135,1-3137-45420-37-24,596730
136,1-3099-02762-83-28,601174
137,1-3137-45420-37-25,605618
138,1-3099-02762-83-29,610062
139,1-3137-45420-37-26,614506
140,1-3099-02762-83-30,618950
141,1-3099-02762-83-28,623394
142,1-3137-45420-37-25,627838
143,1-3099-02762-83-29,632282
144,1-3137-45420-37-26,636726
145,1-3099-02762-83-30,641170
146,1-3137-45420-37-27,645614
147,1-3099-02762-83-31,650058
148,1-3099-02762-83-29,654502
149,1-3137-45420-37-26,658946
150,1-3099-02762-83-30,663390
